Location in Stile,Type of video,Location of video
Stile Science/Chemical Reactions/1.2 Lesson: Chemical equations,Upload,https://stileapp.com/uploads/au/T20200810-facef224391530bd8bad235ef62d92a1d8d21767fc58af0d322fec/The_Pharaoh_s_Serpent___Mercury_Thiocyanate.mp4?response-content-disposition=attachment;%20filename=%22The_Pharaoh_s_Serpent___Mercury_Thiocyanate.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=Ha9qUdDD01e1vwy5CENgaveg3%2FA%3D
Stile Science/Chemical Reactions/1.2 Lesson: Chemical equations,Upload,https://stileapp.com/uploads/au/T20200810-9f697434e4afd673395d83937fecbdc85a5d277b186019498c444b/Burning_sodium__Reactions_only_.mp4?response-content-disposition=attachment;%20filename=%22Burning_sodium__Reactions_only_.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=fdT1ihCV1g%2FNjqqyGuLR59aARYM%3D
Stile Science/Chemical Reactions/1.2 Lesson: Chemical equations,Upload,https://stileapp.com/uploads/au/T20200810-5cc7e2d673ef1b2050c5863a65d2ddcc1eb89e21a0fdcfbea8e3a4/Food_Myths__Are_Apple_Cores_Poisonous_.mp4?response-content-disposition=attachment;%20filename=%22Food_Myths__Are_Apple_Cores_Poisonous_.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=2q1uhGOgnOUU65wFIzQiq9qQ78E%3D
Stile Science/Chemical Reactions/1.2 Lesson: Chemical equations,Upload,https://stileapp.com/uploads/au/T20200811-40b29d8af11b120bbecaab18cce9255a8732bb085609b34c2baf82/Chemical_Equations___Environmental_Chemistry___Chemistry___FuseSchool.mp4?response-content-disposition=attachment;%20filename=%22Chemical_Equations___Environmental_Chemistry___Chemistry___FuseSchool.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=bDgIL8WRn522znw%2FBADoRlbCxEc%3D
Stile Science/Chemical Reactions/1.3 Lesson: Balancing chemical equations,Upload,https://stileapp.com/uploads/au/T20200811-d56d59a786daed0ee55edbcacefa31a6a977924c4b8eb3d749af35/Exploding_Thermite_Pumpkins__Halloween_Science.mp4?response-content-disposition=attachment;%20filename=%22Exploding_Thermite_Pumpkins__Halloween_Science.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626782400&Signature=RHeuSMFqESgpJqMbA2YRxUkq0f4%3D
Stile Science/Acids and Bases/1.1 Lesson: Acids and bases,Upload,https://stileapp.com/uploads/au/T20180521-e1862c24372e991ad090dc1712530cccda0970f531bf241ed425cc/Metals_react_with_acids_to_produce_salt_and_Hydrogen___Acid___Bases___Chemistry.mp4?response-content-disposition=attachment;%20filename=%22Metals_react_with_acids_to_produce_salt_and_Hydrogen___Acid___Bases___Chemistry.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=3ogktR2TLoeyTWQ36nrkyx5Q8x4%3D
Stile Science/Acids and Bases/1.2 Lesson: Measuring acidity,Upload,https://stileapp.com/uploads/au/T20180521-928c5cd596bb4df293707fa820b4d073bc6dbc66ff227ba12ed9cd/Acids__Bases_and_pH.mp4?response-content-disposition=attachment;%20filename=%22Acids__Bases_and_pH.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=bip0yIIm3kKpknk6TPC6zd1o%2BCc%3D
Stile Science/Acids and Bases/1.2 Lesson: Measuring acidity,Upload,https://stileapp.com/uploads/au/T20180521-928c5cd596bb4df293707fa820b4d073bc6dbc66ff227ba12ed9cd/Acids__Bases_and_pH.mp4?response-content-disposition=attachment;%20filename=%22Acids__Bases_and_pH.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=bip0yIIm3kKpknk6TPC6zd1o%2BCc%3D
Stile Science/Acids and Bases/1.3 Practical activity: Indicators,Upload,https://stileapp.com/uploads/au/T20180521-80b3c76f10fae5ad1ae8d959f8da7970f1f72ed4adf108e787d8c8/Indicators___Chemistry_for_All___The_Fuse_School.mp4?response-content-disposition=attachment;%20filename=%22Indicators___Chemistry_for_All___The_Fuse_School.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=QF3GijSmcBDbcJ0Z9jQ8L11zE1I%3D
Stile Science/Acids and Bases/1.3 Practical activity: Indicators,Upload,https://stileapp.com/uploads/au/T20180529-9ff3ad9e7cfafe2e2dcaa54f56b8e56d3e4b64078804fa49cff4a2/DSCN4369.MOV?response-content-disposition=attachment;%20filename=%22DSCN4369.MOV%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=0%2FlxQKtazhe2ZJ8Nl%2BGTHZJ%2Bd0E%3D
Stile Science/Acids and Bases/1.3 Practical activity: Indicators,Upload,https://stileapp.com/uploads/au/T20180531-7a44fcef233d3557d962fbc29c46c422e0aed2cda2ddfb60f1ee5d/DSCN4376.MOV?response-content-disposition=attachment;%20filename=%22DSCN4376.MOV%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=c8XZMrMS5xoz2VBQtHccX%2BbAQYk%3D
Stile Science/Acids and Bases/1.4 Practical activity: Natural pH indicators,Upload,https://stileapp.com/uploads/au/T20171027-1fb6250c927a9095ef9d5e55bb0735fa38d7901571493bbdca5ae2/105_Red_Cabbage_Chemistry.mov?response-content-disposition=attachment;%20filename=%22105_Red_Cabbage_Chemistry.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626796800&Signature=xdRXsNlhx6ZaCmcazFHsLBTB1rI%3D
Stile Science/Acids and Bases/2.1 Lesson: Acid–base reactions,Upload,https://stileapp.com/uploads/au/T20180601-943ab60eaaddd716520111b682ffeaf486d50ddc65232dcecfe92e/Acid_Base_demo_full_trimmed_lo.mov?response-content-disposition=attachment;%20filename=%22Acid_Base_demo_full_trimmed_lo.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626818400&Signature=O7YSfEOVOlCa6eqN68gPjIwNqn8%3D
Stile Science/Acids and Bases/2.1 Lesson: Acid–base reactions,Upload,https://stileapp.com/uploads/au/T20180601-83ee27b6659fa3190543fd947dc71ba98535c910a996f3ad134489/Acid_Base_demo_cropped_lo.mov?response-content-disposition=attachment;%20filename=%22Acid_Base_demo_cropped_lo.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626818400&Signature=SE2bmDU9Ehs8l%2B8kEOjvtonx%2Fa4%3D
Stile Science/Acids and Bases/2.3 Lesson: Ocean acidification,Upload,https://stileapp.com/publicUploads/au/ded4bb265ca55d8fe76ec78533c2fdc4d4ff6d8679b537c571d73e505659d13b/Science_Today__Ocean_Acidification.mov?recache=true
Stile Science/Acids and Bases/2.3 Lesson: Ocean acidification,Upload,https://stileapp.com/publicUploads/au/ff5fd994a27580cc0c2e3f65968a278c3922dfc62fb5a2252701c68c4cbcabb6/The_Other_Carbon_Dioxide_Problem.mp4?recache=true
Stile Science/Acids and Bases/2.4 Practical activity: Modelling ocean acidification,Upload,https://stileapp.com/uploads/au/T20180523-5bb4f422b26093b451babd16dd98def7345a44bded1bc0e9dfc418/DSCN4337.MOV?response-content-disposition=attachment;%20filename=%22DSCN4337.MOV%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626829200&Signature=FNgfWI%2F68bzssI8cshTbNq9xf%2FU%3D
Stile Science/Acids and Bases/2.5 Practical activity: Effect of acids and bases on shells,Upload,https://stileapp.com/uploads/au/T20180529-855867249b6bb0bc7a2b41900de1ccc3cf3bb42e007f34b855a573/DSCN4386.MOV?response-content-disposition=attachment;%20filename=%22DSCN4386.MOV%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626829200&Signature=ztTnl%2B8rBtPMv06JbeRlJLm4%2BgQ%3D
Stile Science/Reactions and Energy/1.1 Lesson: Combustion,Upload,https://stileapp.com/uploads/au/T20161204-9460e37e290f89950b04104af9a6b0f0be8d3dda453babb8fab4f8/I___Hydrogen_Oxygen_Rockets_-_edited.mp4?response-content-disposition=attachment;%20filename=%22I___Hydrogen_Oxygen_Rockets_-_edited.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=D5B5Os7a3JjdkSH%2BKFxv%2FER26ww%3D
Stile Science/Reactions and Energy/1.1 Lesson: Combustion,Upload,https://stileapp.com/uploads/au/T20161204-99baee0150b67d7755343a87676205c8b507ecfccc676959646017/Delta_IV_NROL-37_Launch_Highlights_-_edited.mp4?response-content-disposition=attachment;%20filename=%22Delta_IV_NROL-37_Launch_Highlights_-_edited.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=dZ0SQLdwKrxEgLyzrlxszUUfqLw%3D
Stile Science/Reactions and Energy/1.1 Lesson: Combustion,Upload,https://stileapp.com/uploads/au/T20161207-da3981c04bb1a1a5ea076e4c625b474ddc29b3b0245cc60091e47c/COMBUSTION.mp4?response-content-disposition=attachment;%20filename=%22COMBUSTION.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=%2BajE6iyjiP%2Bb2sNUtlUJp1YHdGM%3D
Stile Science/Reactions and Energy/1.1 Lesson: Combustion,Upload,https://stileapp.com/uploads/au/T20161204-c0245efae8d13ac9a14b3724bf2db9575d39debc114debe7149e2e/Elementary_Productions__Burning_of_Magnesium_and_properties_-_edited.mp4?response-content-disposition=attachment;%20filename=%22Elementary_Productions__Burning_of_Magnesium_and_properties_-_edited.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=AhRHm2Lz3O3nuCJCRMclYimHyG0%3D
Stile Science/Reactions and Energy/2.1 Lesson: Exothermic and endothermic reactions,Upload,https://stileapp.com/uploads/au/546041ca0c2758397eff2e84067e92c002ca5dc588d1629cc5f860c2077c39ef/GCSE_BBC_Bitesize_Higher_Science_-_Exothermic_and_Endothermic_Chemical_reactions_edit1.mov?response-content-disposition=attachment;%20filename=%22GCSE_BBC_Bitesize_Higher_Science_-_Exothermic_and_Endothermic_Chemical_reactions_edit1.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626822000&Signature=T87PzobGxFT6KWt97Vb5omVbpSI%3D
Stile Science/Reactions and Energy/2.1 Lesson: Exothermic and endothermic reactions,Upload,https://stileapp.com/uploads/au/T20161204-675b9acba508cd7f87fbdde134003d8087999d961ada0c06d0e7c9/Slow_Motion_Contact_Explosive_-_Nitrogen_Triiodide_-_edited.mp4?response-content-disposition=attachment;%20filename=%22Slow_Motion_Contact_Explosive_-_Nitrogen_Triiodide_-_edited.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626822000&Signature=fVjqbkgo81adkcDSFUmEITq06i8%3D
Stile Science/Reactions and Energy/2.1 Lesson: Exothermic and endothermic reactions,Upload,https://stileapp.com/uploads/au/T20161204-f0a5cc5f245e1649919c58df3073bbfac0b7f48beaac5ea9e9de41/_Cool__Reaction__Ammonium_Thiocyanate_and_Barium_Hydroxide_Octahydrate_-_edited.mp4?response-content-disposition=attachment;%20filename=%22_Cool__Reaction__Ammonium_Thiocyanate_and_Barium_Hydroxide_Octahydrate_-_edited.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626822000&Signature=Q%2BxEZgPuzRLrX3wFGRrfk8T5fDw%3D
Stile Science/Reactions and Energy/2.1 Lesson: Exothermic and endothermic reactions,Upload,https://stileapp.com/uploads/au/T20161204-e48e4889a3fd307b56bda1aef590e94675aa546ea9b3535a3d77cd/Spontaneous_combustion_of_Paper_with_white_phosphorous_-_edited.mp4?response-content-disposition=attachment;%20filename=%22Spontaneous_combustion_of_Paper_with_white_phosphorous_-_edited.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626822000&Signature=2rK1Qa3poVG17NVvk698zq7WVcA%3D
Stile Science/Reactions and Energy/3.1 Lesson: Photosynthesis and respiration,Upload,https://stileapp.com/uploads/au/T20161204-640a8b3ce0b03c508cda472670efd05577858ce1290257fec5cf36/Where_Do_Trees_Get_Their_Mass_From_.mp4?response-content-disposition=attachment;%20filename=%22Where_Do_Trees_Get_Their_Mass_From_.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=e7Bmnda5XtzP4lvrT23NIuriz7w%3D
Stile Science/Reactions and Energy/4.2 Career profile: Combustion researcher and engineer,YouTube,https://youtube.com/watch?v=PAmk1wdh3tI
Stile Science/Light/Introduction: Smartphones just got smarter,Upload,https://stileapp.com/uploads/au/T20200908-3353bc935e66d481cf15ba4f70f802bf9c40a4172e2db707d6b544/Microorganisms_on_moss_-_filmed_ON_SMARTPHONE_.mp4?response-content-disposition=attachment;%20filename=%22Microorganisms_on_moss_-_filmed_ON_SMARTPHONE_.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626742800&Signature=7SGU6sFJTbEHixAnstaDmnMiAyc%3D
Stile Science/Light/Introduction: Smartphones just got smarter,Upload,https://stileapp.com/uploads/au/T20200908-9c6e8cf2f78ac2e9e633989b9c5615c31630d007ec0f2004e64c13/Mineral_section_observed_with_DIPLE_and_polarized_light.mp4?response-content-disposition=attachment;%20filename=%22Mineral_section_observed_with_DIPLE_and_polarized_light.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626742800&Signature=x2uO6Vhsy6vqGr%2FwvZfDAKFZ4Jk%3D
Stile Science/Light/1.1 Lesson: Light waves,Upload,https://stileapp.com/uploads/au/T20171002-cb084b3835e07678960c973adb41dbbcd189ca74b8006b7785b5d8/what_is_color-TEDed.mp4?response-content-disposition=attachment;%20filename=%22what_is_color-TEDed.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=AU2kqG352OwsP%2F7nCFCQl3yWAII%3D
Stile Science/Light/1.1 Lesson: Light waves,Upload,https://stileapp.com/uploads/au/T20171002-cb084b3835e07678960c973adb41dbbcd189ca74b8006b7785b5d8/what_is_color-TEDed.mp4?response-content-disposition=attachment;%20filename=%22what_is_color-TEDed.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=AU2kqG352OwsP%2F7nCFCQl3yWAII%3D
Stile Science/Light/1.2 Lesson: The interaction of light with objects,Upload,https://stileapp.com/uploads/au/T20171002-cb084b3835e07678960c973adb41dbbcd189ca74b8006b7785b5d8/what_is_color-TEDed.mp4?response-content-disposition=attachment;%20filename=%22what_is_color-TEDed.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626778800&Signature=AU2kqG352OwsP%2F7nCFCQl3yWAII%3D
Stile Science/Light/1.3 Practical activity: Properties of bubbles,Upload,https://stileapp.com/uploads/au/T20191113-b6f653aa93e5928a8b80a7d9f0bb70771c52664d0ba9c213f16b16/Bubbles_Freezing_in_Slow_Motion.mp4?response-content-disposition=attachment;%20filename=%22Bubbles_Freezing_in_Slow_Motion.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626742800&Signature=XxFD4J%2BBOgBo2YaDO2H%2BRO0J4HI%3D
Stile Science/Light/1.4 Lesson: The electromagnetic spectrum,Upload,https://stileapp.com/uploads/au/T20200903-5e247463d5545887915258b5f0aa0f4b384b0a68819070a528fd63/Ultraviolet_Signaling_in_the_Rainbow_Lorikeet_-_UV_Vision_in_Birds.mp4?response-content-disposition=attachment;%20filename=%22Ultraviolet_Signaling_in_the_Rainbow_Lorikeet_-_UV_Vision_in_Birds.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=JrlU7MnXZ77eBNVVkNZRA8aI6wQ%3D
Stile Science/Light/1.4 Lesson: The electromagnetic spectrum,Upload,https://stileapp.com/uploads/au/T20200903-2f8ae10372b17213e00cdb09851a0b317f10fb3379ec7adbfff40d/Tour_of_the_EMS_01_-_Introduction.mp4?response-content-disposition=attachment;%20filename=%22Tour_of_the_EMS_01_-_Introduction.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=8iF%2BQ9isp7yVllS5TnixdrD4pmg%3D
Stile Science/Light/2.2 Lesson: Refraction,Upload,https://stileapp.com/uploads/au/T20161215-20e024c5e7ab59bce72f9e70b009de91c870b80738d4b72ca9fc85/Lenses_-_Refraction_edited.mp4?response-content-disposition=attachment;%20filename=%22Lenses_-_Refraction_edited.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626793200&Signature=dth6ZoL9kIfltU145eWBzHEUi9o%3D
Stile Science/Light/2.4 Lesson: The use of lenses,Upload,https://stileapp.com/publicUploads/au/2300947af667548654315097ec77ffdbef3473f0855289cbdae697e4410c90a8/Microscope__The_Tube_That_Changed_the_World.mp4?recache=true
Stile Science/Light/2.4 Lesson: The use of lenses,Upload,https://stileapp.com/publicUploads/au/5e7e52880cc3988fd5aff8b51bc6f75b554fba07d3c2939caf0601916e886e72/50-Cent_Origami_Microscope_Could_Help_Fight_Malaria.mp4?recache=true
Stile Science/Light/Career profile: Optical engineer,Upload,https://stileapp.com/uploads/au/T20200908-c4cbaf48cf18c6dd311607be0627e9fd988706083c9ca101d578a8/Droplet_lens_technology_opens_microscopy_to_the_masses.mp4?response-content-disposition=attachment;%20filename=%22Droplet_lens_technology_opens_microscopy_to_the_masses.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626742800&Signature=QFVlR8SYbd0uAEwYaihas9ShQ4w%3D
Stile Science/Heat/What do you already know?,Upload,https://stileapp.com/uploads/au/T20180921-674f3150a599bbe0987004c74313f2c008b8f99fb4a0710a90b8ea/AdobeStock_144139023.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_144139023.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626825600&Signature=5GUqkyulUnB%2F1hVu18BOcfu36ag%3D
Stile Science/Heat/What do you already know?,Upload,https://stileapp.com/uploads/au/T20180921-fc2b9ec6be75881afc3215a714443e43da49427a6b8765fa99b660/AdobeStock_138845150.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_138845150.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626825600&Signature=JukxgR6nqX7ltq%2BKcvQ5py2eRqM%3D
Stile Science/Heat/1.1 Lesson: What is heat?,Upload,https://stileapp.com/uploads/au/T20180625-25f9ba296dbac6c0ed5e2a31c1e39f78dcc4a9e8b61e461c0077f6/Diffusion_and_Temperature.mp4?response-content-disposition=attachment;%20filename=%22Diffusion_and_Temperature.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626814800&Signature=mwBYbKO1Yd7G5o8ZaiXHBny436I%3D
Stile Science/Heat/2.1 Lesson: Conduction,Upload,https://stileapp.com/uploads/au/T20180911-9e0786a74913315bf40dc629c289a27c14e6b0bbaf31a15516a2da/Conduction_v2.mp4?response-content-disposition=attachment;%20filename=%22Conduction_v2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=4Yc5Zr6Xaye8rRvEcgSWEvFiHBM%3D
Stile Science/Heat/2.1 Lesson: Conduction,Upload,https://stileapp.com/uploads/au/T20180911-44c003ed1787de5c8685d07a015bbf8220b6647d82c956486e021b/Misconceptions_About_Temperature.mp4?response-content-disposition=attachment;%20filename=%22Misconceptions_About_Temperature.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=n2l8N4poBkLkgy6LD03Y%2Bz8ClXU%3D
Stile Science/Heat/2.1 Lesson: Conduction,Upload,https://stileapp.com/uploads/au/T20180911-44c003ed1787de5c8685d07a015bbf8220b6647d82c956486e021b/Misconceptions_About_Temperature.mp4?response-content-disposition=attachment;%20filename=%22Misconceptions_About_Temperature.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=n2l8N4poBkLkgy6LD03Y%2Bz8ClXU%3D
Stile Science/Heat/3.1 Lesson: Convection,Upload,https://stileapp.com/uploads/au/T20180921-0d8599dbd687ed4a0d1c5daa8adea8c75cadc611b9950f120b2832/Convection-prediction.mp4?response-content-disposition=attachment;%20filename=%22Convection-prediction.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=AfHoD6Ulp%2BofUBMebyivKPsGt%2F4%3D
Stile Science/Heat/3.1 Lesson: Convection,Upload,https://stileapp.com/uploads/au/T20180921-43680171971b575f5eeba057ef3a6b05a0d756a8c85fab83cfd651/Convection-experiment.mp4?response-content-disposition=attachment;%20filename=%22Convection-experiment.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=Gu1lZKVPqalvvK27hVu5pac7UF8%3D
Stile Science/Heat/3.1 Lesson: Convection,Upload,https://stileapp.com/uploads/au/T20180921-e298adcebd56a3b128ea450f778698f4fb79e3a3569de538d5573f/AdobeStock_193437713.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_193437713.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626782400&Signature=Bq0O58sAugir%2BB5kB6RoA9Hrl0Y%3D
Stile Science/Heat/3.1 Lesson: Convection,Upload,https://stileapp.com/uploads/au/T20180921-a192576bfcb679b2d9d22282d7b7674529ac14604b797683e9b31e/AdobeStock_124376651.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_124376651.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626782400&Signature=%2FSIbofHPNFHAnGXMVuxPvX%2Fad%2Bc%3D
Stile Science/Heat/3.1 Lesson: Convection,Upload,https://stileapp.com/uploads/au/T20180921-bf229f1fbbc36acab513d8133bf2887020ec592130c379701ce140/AdobeStock_90656462.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_90656462.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=Lv4xDzKEIfP18uQdRljnC%2FgUG3A%3D
Stile Science/Heat/3.1 Lesson: Convection,Upload,https://stileapp.com/uploads/au/T20180912-f70a87f7e2c554df56c9dd50b01c3b9ea29bf53abd9408071c374b/Heat_Transfer_-_Conduction_and_Convection__GCSE_Physics__Doodle_Science.mp4?response-content-disposition=attachment;%20filename=%22Heat_Transfer_-_Conduction_and_Convection__GCSE_Physics__Doodle_Science.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=wxz%2F1e6uopPVYy9RVmX70h9Ifr8%3D
Stile Science/Heat/3.1 Lesson: Convection,Upload,https://stileapp.com/uploads/au/T20180921-92d97afc2ffb992207f3bc00fd099c38cc37698e7f4af1126b3445/AdobeStock_182789990.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_182789990.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=2%2BF4oLl87ql6lHFc36iKAp9utwQ%3D
Stile Science/Heat/4.1 Lesson: Radiation,Upload,https://stileapp.com/uploads/au/T20180912-3e14d9380cfc081c71e3de48013eb682944a1ac47920f8f6134db8/Heat_Transfer_-_Radiation__GCSE_Physics__Doodle_Science.mp4?response-content-disposition=attachment;%20filename=%22Heat_Transfer_-_Radiation__GCSE_Physics__Doodle_Science.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=p6P89uPLFcMUhoRq2ONPLV2WWzM%3D
Stile Science/Heat/4.1 Lesson: Radiation,Upload,https://stileapp.com/uploads/au/T20180924-18c2d61889a856482b2ecb225ab65bb4661bac4f0032b32835eba2/Infrared_mystery.mp4?response-content-disposition=attachment;%20filename=%22Infrared_mystery.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626825600&Signature=daS0eSgKaGHqfUTgr5fVM6yEt%2F4%3D
Stile Science/Heat/4.3 Engineering challenge: Build a solar oven,Upload,https://stileapp.com/uploads/au/T20180912-f9684aa336a925b8554d428b61a2d1244e8d5f092d875839adeeb1/Solar_Cooking__National_Geographic.mp4?response-content-disposition=attachment;%20filename=%22Solar_Cooking__National_Geographic.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=uuQoN6Ts2qd3bY5rSzxZ5cAbPp8%3D
Stile Science/Radiation/1.1 Lesson: What is radiation?,Upload,https://stileapp.com/publicUploads/au/ca5c4a2c202bdcf8d7eae5dae2bbcf054f2702b0ab3a3d1efdf4001cc76a1714/IDTIMWYTIM__Radiation.mp4?recache=true
Stile Science/Radiation/1.2 Lesson: Radiation and the human body,Upload,https://stileapp.com/publicUploads/au/f1bffbbb632dd1f4e4653a297a4471b5ad3cb1d9f18bb9cd2a70fee6173d72a5/Radiation_-_Is_Human_Space_Exploration_Possible_with_Todays_Shielding_Technology_1.mov?recache=true
Stile Science/Magnetism/Introduction: Wireless electricity,Upload,https://stileapp.com/uploads/au/T20181019-e0fc290ded2f4f962228ab965565a1bee10031469ef90a1f216035/Disney_Invented_A_Room_Where_Your_Phone_Will_Never_Die.mp4?response-content-disposition=attachment;%20filename=%22Disney_Invented_A_Room_Where_Your_Phone_Will_Never_Die.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626764400&Signature=UM0QdqCqjxAN57%2B%2B9ErezyIjh1E%3D
Stile Science/Magnetism/1.1 Lesson: Magnets,Upload,https://stileapp.com/uploads/au/T20181022-8f3ba7631473fd2dabd109ccb06bbac72dfbeb9e245a3618050ae1/Let_s_Smash_Stuff_cut.mp4?response-content-disposition=attachment;%20filename=%22Let_s_Smash_Stuff_cut.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626825600&Signature=0WNquOc9gQcY6k70q8i48Q3OJow%3D
Stile Science/Magnetism/1.1 Lesson: Magnets,Upload,https://stileapp.com/uploads/au/T20181019-b4b7ad208e440f8b0f7bbb906f7f772fd9eb6aef1f4847b8f9db8e/AdobeStock_199370756.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_199370756.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626825600&Signature=bTYC9NQvDo3NvH8wF5yj05ELg9E%3D
Stile Science/Magnetism/1.1 Lesson: Magnets,Upload,https://stileapp.com/uploads/au/T20181019-f786bf1a084d6908302aac151d8cb9ff9aef4ecde275024ca614d9/Magnet___Iron_filings___Fun_Magic___Satisfying_Experiment.mp4?response-content-disposition=attachment;%20filename=%22Magnet___Iron_filings___Fun_Magic___Satisfying_Experiment.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626825600&Signature=yO0wJrzK9NxEDv286BDONBqagY4%3D
Stile Science/Magnetism/1.1 Lesson: Magnets,YouTube,https://youtube.com/watch?v=vhytm8WYif0
